name,avis,link
75. Raffaello Ristorante,"4,5 sur 5 bulles301 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d446648-Reviews-Raffaello_Ristorante-Los_Angeles_California.html
76. Playa Provisions,"4,0 sur 5 bulles167 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d6702912-Reviews-Playa_Provisions-Los_Angeles_California.html
77. Daikokuya - Sawtelle,"4,5 sur 5 bulles273 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1022582-Reviews-Daikokuya_Sawtelle-Los_Angeles_California.html
78. San Pedro Fish Market & Restaurant,"4,0 sur 5 bulles297 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d509354-Reviews-San_Pedro_Fish_Market_Restaurant-Los_Angeles_California.html
79. The Front Yard,"4,5 sur 5 bulles579 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1785462-Reviews-The_Front_Yard-Los_Angeles_California.html
80. Brent's Deli Northridge,"4,5 sur 5 bulles1 562 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d348825-Reviews-Brent_s_Deli_Northridge-Los_Angeles_California.html
81. N.10 Restaurant,"4,5 sur 5 bulles134 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d14227020-Reviews-N_10_Restaurant-Los_Angeles_California.html
82. Karl Strauss Brewing Company,"4,5 sur 5 bulles124 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d11829076-Reviews-Karl_Strauss_Brewing_Company-Los_Angeles_California.html
83. El Compadre,"4,0 sur 5 bulles320 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d350473-Reviews-El_Compadre-Los_Angeles_California.html
84. Guelaguetza Restaurante,"4,5 sur 5 bulles182 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364729-Reviews-Guelaguetza_Restaurante-Los_Angeles_California.html
85. Saddle Ranch Chop House,"4,0 sur 5 bulles414 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364955-Reviews-Saddle_Ranch_Chop_House-Los_Angeles_California.html
86. Bestia,"4,5 sur 5 bulles648 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3731729-Reviews-Bestia-Los_Angeles_California.html
87. Urban Masala,"4,5 sur 5 bulles146 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3186635-Reviews-Urban_Masala-Los_Angeles_California.html
88. Post & Beam,"4,5 sur 5 bulles61 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d5094434-Reviews-Post_Beam-Los_Angeles_California.html
89. Great White,"4,5 sur 5 bulles107 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d13140087-Reviews-Great_White-Los_Angeles_California.html
90. Yamashiro Hollywood,"4,0 sur 5 bulles923 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364899-Reviews-Yamashiro_Hollywood-Los_Angeles_California.html
91. Petit Trois,"4,5 sur 5 bulles164 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7101596-Reviews-Petit_Trois-Los_Angeles_California.html
92. Taix French Country Cuisine,"4,5 sur 5 bulles138 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2355945-Reviews-Taix_French_Country_Cuisine-Los_Angeles_California.html
93. Maggiano's - Farmers Market,"4,0 sur 5 bulles358 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1315940-Reviews-Maggiano_s_Farmers_Market-Los_Angeles_California.html
94. Versailles Cuban Restaurant,"4,0 sur 5 bulles182 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d348057-Reviews-Versailles_Cuban_Restaurant-Los_Angeles_California.html
95. Beachwood Cafe,"4,5 sur 5 bulles161 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3181790-Reviews-Beachwood_Cafe-Los_Angeles_California.html
96. El Cholo,"4,0 sur 5 bulles122 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d4256682-Reviews-El_Cholo-Los_Angeles_California.html
